2025-09-03 21:44:27 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/363.0.743255906 Mobile/15E148 Safari/604.1
2025-09-03 21:44:27 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:44:27 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:44:58 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1
2025-09-03 21:44:58 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:44:58 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:44:58 | WARNING  | MainThread | [DEBUG] Attente de 10 secondes avant la prochaine tentative...
2025-09-03 21:45:08 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36
2025-09-03 21:45:08 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:45:08 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:45:08 | WARNING  | MainThread | [DEBUG] Attente de 20 secondes avant la prochaine tentative...
2025-09-03 21:45:32 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/363.0.743255906 Mobile/15E148 Safari/604.1
2025-09-03 21:45:33 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:45:33 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:45:33 | WARNING  | MainThread | [DEBUG] Attente de 10 secondes avant la prochaine tentative...
2025-09-03 21:45:43 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1
2025-09-03 21:45:43 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:45:43 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:45:43 | WARNING  | MainThread | [DEBUG] Attente de 5 secondes avant la prochaine tentative...
2025-09-03 21:45:48 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.6347.1389 Mobile Safari/537.36
2025-09-03 21:45:48 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:45:48 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:45:48 | WARNING  | MainThread | [DEBUG] Attente de 6 secondes avant la prochaine tentative...
2025-09-03 21:45:54 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36
2025-09-03 21:45:54 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:45:54 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:45:54 | WARNING  | MainThread | [DEBUG] Attente de 8 secondes avant la prochaine tentative...
2025-09-03 21:46:02 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 18_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1
2025-09-03 21:46:02 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:02 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:02 | WARNING  | MainThread | [DEBUG] Attente de 9 secondes avant la prochaine tentative...
2025-09-03 21:46:11 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.6572.1938 Mobile Safari/537.36
2025-09-03 21:46:11 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:11 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:11 | WARNING  | MainThread | [DEBUG] Attente de 8 secondes avant la prochaine tentative...
2025-09-03 21:46:19 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
2025-09-03 21:46:19 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:19 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:19 | WARNING  | MainThread | [DEBUG] Attente de 6 secondes avant la prochaine tentative...
2025-09-03 21:46:50 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-09-03 21:46:50 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:50 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:50 | WARNING  | MainThread | [DEBUG] Attente de 1 secondes avant la prochaine tentative...
2025-09-03 21:46:51 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-09-03 21:46:51 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:51 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:51 | WARNING  | MainThread | [DEBUG] Attente de 1 secondes avant la prochaine tentative...
2025-09-03 21:46:52 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-09-03 21:46:52 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:52 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:52 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
2025-09-03 21:46:54 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36
2025-09-03 21:46:54 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:54 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:54 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
2025-09-03 21:46:56 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1
2025-09-03 21:46:56 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:56 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:56 | WARNING  | MainThread | [DEBUG] Attente de 1 secondes avant la prochaine tentative...
2025-09-03 21:46:57 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0
2025-09-03 21:46:57 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:57 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:57 | WARNING  | MainThread | [DEBUG] Attente de 1 secondes avant la prochaine tentative...
2025-09-03 21:46:58 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_10 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
2025-09-03 21:46:58 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:46:58 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:46:58 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
2025-09-03 21:47:00 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36
2025-09-03 21:47:00 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:47:00 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:47:00 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
2025-09-03 21:47:02 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1
2025-09-03 21:47:02 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:47:02 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:47:02 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
2025-09-03 21:47:17 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1
2025-09-03 21:47:18 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:47:18 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:47:18 | WARNING  | MainThread | [DEBUG] Attente de 1 secondes avant la prochaine tentative...
2025-09-03 21:47:19 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-09-03 21:47:20 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:47:20 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:47:20 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
2025-09-03 21:47:22 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-09-03 21:47:22 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:47:22 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:47:22 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
2025-09-03 21:47:24 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.9910.1919 Mobile Safari/537.36
2025-09-03 21:47:24 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:47:24 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:47:24 | WARNING  | MainThread | [DEBUG] Attente de 1 secondes avant la prochaine tentative...
2025-09-03 21:47:25 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1
2025-09-03 21:47:26 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:47:26 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:47:26 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
2025-09-03 21:47:28 | WARNING  | MainThread | [DEBUG] User-Agent utilisé : Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1
2025-09-03 21:47:29 | WARNING  | MainThread | [IMPORT] Erreur de réseau ou 429 détecté pour 'casque': 'headers'
2025-09-03 21:47:29 | WARNING  | MainThread | -> Tentative de changement de VPN + pause avant retry...
2025-09-03 21:47:29 | WARNING  | MainThread | [DEBUG] Attente de 2 secondes avant la prochaine tentative...
